trial,score,anchor_dominance_penalty,average_alpha,cheek_edge_overlap,edge_overlap_face,eligible,face_luma_mae,failed_gates,gray_slab_penalty,lane_clutter_penalty,lane_words,lower_face_brightness_penalty,mouth_banding_penalty,nose_bridge_edge_overlap,protected_dark_zone_fill_ratio,total_words_drawn,anchor_size_scale,anchor_alpha_scale,lane_word_spacing,lane_word_count_multiplier,contour_alpha_min,contour_alpha_max,tone_alpha_min,tone_alpha_max,shadow_alpha_min,shadow_alpha_max,dark_zone_suppression,luma_modulation_strength,cheek_lane_multiplier,nose_lane_multiplier,jitter_strength,structure_layer_opacity
10,-6.144619205261787,0.0,87.93108808290155,0.08919597989949749,0.1508857666463042,False,39.44313049316406,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.32306877060763073,1.6837118535461952,328,0.2864025115966797,1.0,0.08695652173913043,0.04245458215583367,3860,0.6629424966342417,0.7607848708080156,10.411430898217056,1.416629820751443,148,225,87,145,34,81,0.4078096882079631,0.2582028325258009,1.8523048024983426,1.9896228309583655,2.4537748960341297,0.7791946993799989
11,-6.988157014431128,0.08565348948582872,86.21606648199446,0.12291933418693982,0.21050934880722114,False,36.28167724609375,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.33119406500235515,2.6990204155633646,489,0.321216310773577,1.0,0.1425959780621572,0.07928946306015341,3971,0.7644185018081519,0.8462985561254226,11.34063878022925,1.7946129717786201,139,216,84,130,34,74,0.4787269351372645,0.36438098538283176,2.6766298588421593,2.2583732848544793,3.8895124360349635,0.7807337592685957
12,-7.64761361409974,0.025271898563073575,113.22430355427474,0.10282776349614396,0.14153478650343387,False,36.60589599609375,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.3224996074737007,3.3003743085973487,625,0.3120594024658203,0.8006646875554865,0.11858407079646018,0.11481631005248284,4164,0.7001531639006113,0.6491592834911721,6.465791751712513,1.6284566392448836,164,234,83,182,27,72,0.7155608173941713,0.2887845093430954,2.1866887686749323,1.4964728573365824,1.6121687461322165,0.6447121634620967
13,-5.336549116235223,0.0,108.08720930232558,0.09202453987730061,0.14451382694023193,False,36.713134765625,"protected_dark_zone_fill_ratio,gray_slab_penalty,mouth_banding_penalty",0.32110613911132047,1.1260774885497336,230,0.328442873273577,0.9505544996781783,0.1,0.11551069842551473,3784,0.6025138593606905,0.8824755359125178,12.950406774487877,1.3418549994880113,129,219,79,163,43,92,0.7223371760784036,0.3011008985863242,2.4610424583951542,1.6222386801939415,4.732458154134165,0.7608474558453411
14,-5.77062061626575,0.13551365297740844,101.24381535322622,0.18073878627968337,0.2652863151083792,False,31.148426055908203,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3074069712670749,2.1268482243372313,386,0.2991340092250279,0.8818396245783026,0.1551094890510949,0.1374727492935002,3921,0.809871578933468,0.7627110632355563,10.387063656506653,2.0246325129078278,121,197,103,163,29,67,0.6925179704444784,0.4545161607184778,1.3457641439922003,1.5587179520227263,1.2762857441047262,0.6758447662570835
15,-6.624730944229869,0.0921322009582273,86.29395672718229,0.14456233421750664,0.22193211488250653,False,36.84016799926758,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.334236143821636,2.3668834086516615,455,0.3207211630684989,1.0,0.13799621928166353,0.05987888574888978,4021,0.7723018730958596,0.8159978452792623,11.766867401022512,2.1419747925895036,138,208,91,145,27,72,0.40247944314221534,0.37501503317549667,2.5188984523356837,2.0409553686654807,2.6052173587906515,0.8212625058206527
16,-6.663530176628446,0.1185135140738345,88.6490643424763,0.08366533864541832,0.1569767441860465,False,38.610660552978516,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.32640524415135813,2.0911604130845283,389,0.27315777369907923,0.9608196732954546,0.10488245931283906,0.03982236576503835,3901,0.7968369663857185,0.7540258241563889,12.83873817202609,1.9831967409908806,148,219,88,151,32,84,0.38904126652448157,0.2664626810675604,2.4460470619579073,1.2647479197681573,1.838166126016009,0.7140228358991217
17,-5.363045676461684,0.0007046246597380383,89.71560115759011,0.09245742092457421,0.1646415552855407,False,38.452239990234375,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3188687392055268,1.1792678068734928,261,0.30673582894461493,1.0,0.08731466227347612,0.06549858700040372,3801,0.6731149288429078,0.6279584165707058,11.459847896947196,2.0837419920476656,145,233,101,158,32,75,0.45652437181577965,0.3097021086631982,1.1359424816286228,1.0137166554387187,1.7073356811176759,0.8851063415221135
18,-6.648679197334474,0.029884741131421443,100.42467827403482,0.09840425531914894,0.17239225484072454,False,38.560302734375,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.33590438059349975,2.1821951174197682,423,0.3267086574009487,1.0,0.11233885819521179,0.06846992329430764,3963,0.7002650626225848,0.8465083729962629,7.002981480310561,1.0816507511810203,145,232,103,171,27,90,0.46993364929957676,0.2938632741439805,2.7859887406124475,1.958665660346734,1.9472376700046405,0.8077227719836071
19,-4.813574359537414,0.0,98.45181043663472,0.14247669773635152,0.24656638325703073,False,35.75670623779297,"gray_slab_penalty,mouth_banding_penalty",0.3439511697283718,1.0767128676539186,217,0.3491307394845145,1.0,0.14575645756457564,0.09059345983044005,3756,0.639704651267142,0.744976298829721,11.563284504428202,1.4340488338454684,154,214,83,180,40,81,0.47448468444472464,0.416908967980559,1.8135314362216302,1.0371890129350148,2.248456635428785,0.8965443518606857
20,-7.181387208154221,0.05595507609635342,109.77923686818632,0.1227154046997389,0.1744186046511628,False,35.1458625793457,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.32041921808761187,2.636361168472928,477,0.32164878845214845,1.0,0.11829944547134935,0.12195397658457811,4036,0.7188683130789075,0.7262925689960362,10.16994075213109,1.9591830131863661,144,191,97,162,39,89,0.6930834937852868,0.34937923964716344,1.8004692080525542,1.8664165857029167,2.0508867696326,0.7354410921220188
21,-5.197829328562085,0.0,99.84061020515519,0.13350449293966624,0.24457402008422416,False,34.96792221069336,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.3146098288585335,1.5034141461162664,306,0.3317739759172712,1.0,0.16252390057361377,0.09417844166330239,3802,0.5938340560129237,0.641368135345555,9.903434703400634,2.006491846161226,124,217,81,176,40,92,0.49753753053304794,0.421342315930648,1.0489255663360117,1.1342088078341168,1.3095917221553877,0.925195871733103
22,-5.724768397163911,0.16319070838749536,93.95757264078169,0.13446475195822455,0.17725030826140567,False,36.43010330200195,"lane_words,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.31233317632281365,1.7881828139643021,343,0.26043810163225445,0.9065382460160689,0.13693693693693693,0.061509890997174,3889,0.8411979436717001,0.7950087593893935,9.861119572632447,1.1991472605357967,120,231,87,157,40,83,0.4604732419803524,0.2970314335788787,2.395030060465409,2.435017140025229,4.3014804078420905,0.6523580306255692
