trial,score,anchor_dominance_penalty,average_alpha,cheek_edge_overlap,edge_overlap_face,eligible,face_luma_mae,failed_gates,gray_slab_penalty,lane_clutter_penalty,lane_words,lower_face_brightness_penalty,mouth_banding_penalty,nose_bridge_edge_overlap,protected_dark_zone_fill_ratio,total_words_drawn,anchor_size_scale,anchor_alpha_scale,lane_word_spacing,lane_word_count_multiplier,contour_alpha_min,contour_alpha_max,tone_alpha_min,tone_alpha_max,shadow_alpha_min,shadow_alpha_max,dark_zone_suppression,luma_modulation_strength,cheek_lane_multiplier,nose_lane_multiplier,jitter_strength,structure_layer_opacity
50,-5.23265975934145,0.0,104.26559139784946,0.10682110682110682,0.20855614973262032,False,36.84329605102539,"gray_slab_penalty,mouth_banding_penalty",0.3377885068299576,1.0974447443655944,220,0.38050520760672435,1.0,0.10745233968804159,0.09249899071457408,3720,0.6267893224868952,0.6830889176697476,11.675068049164985,1.1587920783799457,165,224,88,190,43,83,0.5047440002721351,0.37261930034513707,2.2622380705679834,0.8,3.3844867153577436,0.8981812486547935
51,-5.151881625041596,0.002518663872009645,87.30845497108234,0.05536332179930796,0.13726076555023922,False,41.31667709350586,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.35772884283246975,0.49100907980811326,147,0.38865383693150113,1.0,0.0848,0.06272103350827614,3631,0.6638392391453685,0.8138119881939145,13.279803339466158,1.0461705746131622,152,218,84,160,36,65,0.46829571338863973,0.27745637858742717,1.136518331850471,1.772045527250758,4.289210056310032,1.0
52,-5.510115692671289,0.0,87.85415009281358,0.08816120906801007,0.17212863705972434,False,36.797019958496094,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.31107709216517504,1.5165279548263135,289,0.2628594534737723,0.9952348671653053,0.10398613518197573,0.07247476786435204,3771,0.6459944477549329,0.6920942578635532,8.425565121641206,1.2705706565992236,119,217,107,146,27,74,0.49732674009330785,0.29094544379248233,1.6105821464871324,1.6429443766163865,3.1483689326070876,0.7333651602617381
53,-5.378597658824185,0.11576654040953745,102.51604205985441,0.052941176470588235,0.08695652173913043,False,39.66863250732422,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3146883341183859,0.792615479851537,189,0.3008370535714286,0.9851986253218218,0.06210191082802548,0.08185708518368995,3709,0.7982015614036349,0.6185102018795344,10.709943909754855,0.8857601497006918,134,245,79,181,36,76,0.6113640033418165,0.20011235656299617,1.6973045121263064,1.1680162083805399,4.232595416795567,0.7448707648436264
54,-5.001982657126048,0.12162329558058581,108.34025559105432,0.1084788029925187,0.19127205199628597,False,34.07211685180664,"protected_dark_zone_fill_ratio,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.29315826660386246,1.2015573325480158,256,0.2922182355608259,0.8916461589466441,0.11784511784511785,0.11303996770286637,3756,0.7941713915210598,0.6841723134879858,11.299955129201436,1.0127984278728586,160,217,83,188,39,74,0.6275837864528474,0.35862289077209986,1.9183704829706683,2.5864864833486703,1.4898098382903184,0.6884740740161096
55,-4.633880615758912,0.009360183186862594,100.29691725256896,0.11417816813048934,0.1964735516372796,False,36.14873123168945,"gray_slab_penalty,mouth_banding_penalty",0.321204270686136,0.7900051481019309,173,0.32393820626395087,1.0,0.12244897959183673,0.08490916431166734,3698,0.6756643250914788,0.7151965413322792,11.807394953424785,1.2006030129199088,161,229,92,183,49,77,0.4956464858714999,0.35824847321527153,1.5314968232237143,0.8,2.7331009972210007,0.810307162138151
56,-5.848608538993756,0.03066218650810924,99.24542318917484,0.08,0.16717885679164105,False,38.033424377441406,"protected_dark_zone_fill_ratio,lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3315669649866541,1.40471807097803,272,0.3588371821812221,1.0,0.09880749574105621,0.09572870407751312,3769,0.7052413608226239,0.8069865430286781,12.723640747854532,1.5798234631017238,141,205,90,176,34,69,0.5741705832941238,0.3347753738529839,1.227894551853806,1.8654037288229648,3.977677200693273,0.9127256496984586
57,-5.6997963188295175,0.0,96.7478835978836,0.06847697756788666,0.09617045781744889,False,39.56901550292969,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3081723975506359,1.432044408274327,274,0.2583285740443638,0.9455808765758167,0.06568144499178982,0.07549454985870004,3780,0.6415047481464398,0.5805382994409861,8.914737361833078,1.3398985521350115,133,188,95,155,34,83,0.5826664516671508,0.19516330384020225,1.227179214999568,1.2825770331029172,2.9709861053078903,0.727911987957815
58,-5.637286270740053,0.20755692455048108,100.47397476340694,0.06235294117647059,0.08863636363636364,False,38.75029373168945,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3173182603234417,1.290281766428965,250,0.2583897726876395,0.8553605851606889,0.07692307692307693,0.07761001211142511,3804,0.8914044287253773,0.616573715365224,8.34142245913025,1.2880924739200355,133,245,85,176,27,74,0.5838800947673096,0.1899153038345457,1.7526619396541703,0.9192875275787977,4.907252773887442,0.6667240815434912
59,-5.318249254476946,0.07974490462300116,107.80337982832619,0.0899149453219927,0.18593272171253822,False,36.606956481933594,"protected_dark_zone_fill_ratio,gray_slab_penalty,mouth_banding_penalty",0.33802402260951486,0.7941091173328102,189,0.41332315717424667,1.0,0.11666666666666667,0.12377876463463867,3728,0.7627870016552112,0.6711513809338095,12.545106604881717,0.8406101324902484,157,209,78,190,38,76,0.6318779274401038,0.39296063287106175,2.0695780057943294,2.579363866018075,0.8,0.9379645639665675
